Flight Number,From City,To City,Airline,Flight Status,Passengers,Economy Class,Business Class,First Class,Departure Time,Arrival Time
TG0048,Chiang Mai,Phuket,MJ Airways,On Time,174,928,4283,11732,17/12/2024 19:40:00,17/12/2024 20:46:00
TG0049,Nakhon Ratchasima,Phuket,MJ Airways,Delayed,143,928,4092,6362,15/12/2024 08:47:00,15/12/2024 09:43:00
TG0050,Nakhon Ratchasima,Bangkok,MJ Airways,Delayed,122,853,4045,8205,03/01/2025 00:12:00,03/01/2025 01:22:00
TG0051,Udon Thani,Koh Samui,Thai Meow Air,Cancelled,99,1350,3623,7179,10/01/2025 17:16:00,10/01/2025 18:42:00
TG0052,Udon Thani,Surat Thani,Thai Meow Air,Cancelled,178,1288,3995,10538,20/01/2025 08:51:00,20/01/2025 10:47:00
TG0053,Chiang Mai,Phuket,Porsche Air,Delayed,193,1073,3613,6395,10/12/2024 16:21:00,10/12/2024 17:11:00
TG0054,Phuket,Bangkok,PhraoAirAsia,On Time,101,1135,2510,9377,13/01/2025 22:25:00,14/01/2025 00:23:00
TG0055,Nakhon Ratchasima,Bangkok,Porsche Air,Cancelled,113,1188,3631,11448,04/01/2025 21:32:00,04/01/2025 23:14:00
TG0056,Krabi,Bangkok,MJ Airways,On Time,148,1417,2110,10440,31/01/2025 12:58:00,31/01/2025 14:31:00
TG0057,Krabi,Bangkok,PhraoAirAsia,Delayed,181,842,2540,7539,31/12/2024 05:16:00,31/12/2024 05:59:00
TG0058,Chiang Mai,Bangkok,Thai Meow Air,Delayed,55,1242,3729,7648,16/12/2024 01:03:00,16/12/2024 02:26:00
TG0059,Bangkok,Koh Samui,Porsche Air,Delayed,192,1343,4097,9897,20/01/2025 17:41:00,20/01/2025 19:31:00
TG0060,Koh Samui,Bangkok,kaningpom jet,Delayed,195,1057,2945,9506,24/01/2025 15:36:00,24/01/2025 17:00:00
TG0061,Phuket,Koh Samui,kaningpom jet,Delayed,162,1121,4391,10025,18/01/2025 10:35:00,18/01/2025 11:08:00
TG0063,Koh Samui,Bangkok,Porsche Air,Cancelled,56,857,3498,6131,18/01/2025 21:24:00,18/01/2025 23:22:00
TG0064,Koh Samui,Krabi,kaningpom jet,Delayed,90,1091,3776,7959,19/01/2025 00:37:00,19/01/2025 02:15:00
TG0065,Chiang Mai,Krabi,Thai Meow Air,Cancelled,131,919,3218,11630,22/01/2025 23:10:00,23/01/2025 00:21:00
TG0067,Nakhon Ratchasima,Krabi,Thai Meow Air,Delayed,87,1230,4991,8005,13/01/2025 23:42:00,14/01/2025 00:20:00
TG0068,Krabi,Bangkok,PhraoAirAsia,Delayed,102,882,4321,10253,26/01/2025 07:07:00,26/01/2025 08:52:00
TG0069,Koh Samui,Krabi,Porsche Air,Cancelled,129,891,4726,8997,28/12/2024 18:51:00,28/12/2024 19:30:00
TG0070,Chiang Rai,Phuket,Porsche Air,Delayed,151,1198,3344,10163,29/01/2025 02:27:00,29/01/2025 04:09:00
TG0071,Chiang Rai,Surat Thani,PhraoAirAsia,Delayed,79,1411,2236,7592,28/01/2025 16:33:00,28/01/2025 17:34:00
TG0072,Koh Samui,Chiang Rai,kaningpom jet,Cancelled,191,1365,2662,11199,13/12/2024 14:45:00,13/12/2024 15:25:00
TG0073,Chiang Rai,Bangkok,kaningpom jet,Delayed,54,1433,4127,8349,30/01/2025 09:20:00,30/01/2025 11:09:00
TG0074,Phuket,Koh Samui,PhraoAirAsia,On Time,61,884,4122,10698,06/12/2024 11:08:00,06/12/2024 13:01:00
TG0075,Bangkok,Hat Yai,PhraoAirAsia,Cancelled,157,1003,3186,8127,14/01/2025 11:36:00,14/01/2025 12:13:00
TG0076,Chiang Mai,Phuket,Thai Meow Air,Delayed,56,1124,4726,11131,11/01/2025 06:26:00,11/01/2025 08:19:00
TG0077,Udon Thani,Bangkok,Thai Meow Air,Delayed,114,847,3685,8181,11/12/2024 07:07:00,11/12/2024 08:59:00
TG0078,Phuket,Chiang Rai,kaningpom jet,Delayed,90,1439,2373,6926,15/01/2025 00:44:00,15/01/2025 01:14:00
TG0079,Chiang Mai,Bangkok,Thai Meow Air,On Time,74,931,4474,9258,30/01/2025 17:04:00,30/01/2025 18:15:00
TG0080,Surat Thani,Chiang Rai,Thai Meow Air,Delayed,182,980,3407,7604,11/12/2024 12:42:00,11/12/2024 13:46:00
TG0081,Surat Thani,Phuket,PhraoAirAsia,Delayed,171,943,2611,6315,09/12/2024 14:02:00,09/12/2024 15:44:00
TG0083,Surat Thani,Bangkok,kaningpom jet,Delayed,194,1460,3833,6544,23/01/2025 17:48:00,23/01/2025 18:46:00
TG0084,Hat Yai,Bangkok,Porsche Air,Delayed,69,1027,4809,9877,20/12/2024 10:04:00,20/12/2024 11:05:00
TG0085,Koh Samui,Bangkok,PhraoAirAsia,Delayed,131,1173,4919,6637,31/01/2025 20:12:00,31/01/2025 21:47:00
TG0086,Hat Yai,Krabi,kaningpom jet,On Time,168,1360,3787,10653,16/01/2025 13:57:00,16/01/2025 15:15:00
TG0089,Udon Thani,Chiang Rai,MJ Airways,Delayed,187,1105,4352,6250,21/12/2024 02:56:00,21/12/2024 04:50:00
TG0090,Chiang Rai,Surat Thani,kaningpom jet,Cancelled,53,1381,3407,7179,03/01/2025 10:29:00,03/01/2025 12:07:00
TG0091,Surat Thani,Koh Samui,MJ Airways,Delayed,56,969,3674,9815,03/01/2025 17:50:00,03/01/2025 19:45:00
TG0092,Koh Samui,Bangkok,kaningpom jet,Delayed,134,1475,3348,6795,23/01/2025 18:31:00,23/01/2025 20:02:00
TG0093,Hat Yai,Bangkok,PhraoAirAsia,Delayed,186,1248,3297,11149,11/12/2024 06:16:00,11/12/2024 06:58:00
TG0094,Chiang Rai,Bangkok,Thai Meow Air,Delayed,126,895,4819,6126,29/12/2024 03:32:00,29/12/2024 04:29:00
TG0095,Udon Thani,Chiang Rai,Porsche Air,Delayed,179,997,3630,11195,22/12/2024 12:25:00,22/12/2024 14:17:00
TG0096,Surat Thani,Phuket,Porsche Air,On Time,198,1406,2471,8145,05/01/2025 19:36:00,05/01/2025 21:00:00
TG0097,Chiang Mai,Bangkok,MJ Airways,Cancelled,89,1056,4333,9278,13/01/2025 00:52:00,13/01/2025 02:33:00
TG0098,Phuket,Surat Thani,kaningpom jet,On Time,138,1490,2614,9622,17/12/2024 21:47:00,17/12/2024 22:35:00
TG0099,Udon Thani,Hat Yai,kaningpom jet,On Time,108,1092,3659,9339,14/12/2024 23:06:00,14/12/2024 23:41:00
TG0100,Chiang Rai,Hat Yai,PhraoAirAsia,Delayed,81,1187,3227,9530,21/01/2025 15:53:00,21/01/2025 16:29:00
TG0101,Udon Thani,Chiang Rai,Porsche Air,Cancelled,128,1410,2450,7782,10/12/2024 09:06:00,10/12/2024 10:00:00
TG0102,Koh Samui,Bangkok,kaningpom jet,Delayed,200,1354,4695,7714,21/01/2025 01:51:00,21/01/2025 02:40:00
TG0103,Bangkok,Phuket,Thai Meow Air,Delayed,182,1168,4739,7222,21/01/2025 01:18:00,21/01/2025 03:07:00
TG0104,Phuket,Koh Samui,PhraoAirAsia,Cancelled,142,1001,4292,7686,16/12/2024 14:34:00,16/12/2024 15:42:00
TG0105,Udon Thani,Chiang Rai,kaningpom jet,Delayed,166,1183,4633,7147,18/01/2025 00:30:00,18/01/2025 01:03:00
TG0106,Hat Yai,Surat Thani,MJ Airways,Cancelled,58,1312,3984,9659,04/12/2024 09:55:00,04/12/2024 11:19:00
TG0107,Krabi,Surat Thani,Porsche Air,Cancelled,69,1170,4032,11411,10/12/2024 16:16:00,10/12/2024 17:47:00
TG0108,Chiang Rai,Surat Thani,PhraoAirAsia,On Time,90,1355,2401,10564,14/12/2024 16:40:00,14/12/2024 17:28:00
TG0109,Nakhon Ratchasima,Hat Yai,PhraoAirAsia,Delayed,155,1183,3704,9012,18/01/2025 14:09:00,18/01/2025 15:17:00
TG0110,Hat Yai,Koh Samui,MJ Airways,On Time,176,823,2243,7599,02/01/2025 21:52:00,02/01/2025 23:44:00
TG0111,Hat Yai,Chiang Rai,kaningpom jet,Delayed,163,1499,4581,10868,01/01/2025 15:37:00,01/01/2025 16:45:00
TG0112,Krabi,Phuket,MJ Airways,Delayed,64,930,3630,10785,18/12/2024 22:53:00,19/12/2024 00:13:00
TG0113,Udon Thani,Bangkok,Porsche Air,On Time,87,1177,3946,10980,22/12/2024 13:25:00,22/12/2024 15:01:00
TG0114,Koh Samui,Bangkok,kaningpom jet,Delayed,61,898,4800,7181,09/12/2024 16:02:00,09/12/2024 17:55:00
TG0115,Chiang Mai,Hat Yai,Porsche Air,On Time,132,1374,3809,11823,07/12/2024 12:51:00,07/12/2024 13:43:00
TG0116,Chiang Rai,Krabi,Thai Meow Air,Cancelled,126,923,4314,6603,03/01/2025 17:14:00,03/01/2025 18:05:00
TG0118,Krabi,Bangkok,MJ Airways,Delayed,64,1394,3681,6360,13/01/2025 21:03:00,13/01/2025 22:56:00
TG0119,Hat Yai,Krabi,Porsche Air,Delayed,173,948,4179,9610,10/12/2024 07:09:00,10/12/2024 08:55:00
TG0120,Koh Samui,Krabi,PhraoAirAsia,On Time,173,1009,2797,6585,23/01/2025 15:37:00,23/01/2025 16:33:00
TG0121,Bangkok,Krabi,PhraoAirAsia,Delayed,100,1362,4503,8271,30/12/2024 21:10:00,30/12/2024 22:03:00
TG0122,Bangkok,Phuket,Thai Meow Air,Delayed,62,1211,2464,9934,31/01/2025 12:48:00,31/01/2025 14:31:00
TG0123,Koh Samui,Surat Thani,kaningpom jet,On Time,61,841,4274,7809,07/12/2024 13:32:00,07/12/2024 14:56:00
TG0124,Chiang Mai,Koh Samui,Porsche Air,Delayed,69,858,2445,7735,25/12/2024 07:34:00,25/12/2024 08:17:00
TG0126,Koh Samui,Chiang Rai,Porsche Air,Delayed,66,836,3882,6201,31/01/2025 12:51:00,31/01/2025 13:32:00
TG0127,Udon Thani,Chiang Mai,Porsche Air,Delayed,96,886,3124,7756,18/12/2024 10:29:00,18/12/2024 11:29:00
TG0128,Surat Thani,Koh Samui,kaningpom jet,Delayed,145,843,4182,9887,11/01/2025 19:30:00,11/01/2025 20:02:00
TG0129,Udon Thani,Krabi,Thai Meow Air,Delayed,198,811,2032,8096,24/12/2024 16:53:00,24/12/2024 18:19:00
TG0130,Hat Yai,Phuket,Thai Meow Air,Delayed,126,1107,3655,10471,10/12/2024 03:57:00,10/12/2024 04:58:00
TG0131,Phuket,Chiang Mai,Thai Meow Air,Delayed,93,880,4422,9015,06/12/2024 20:09:00,06/12/2024 21:00:00
TG0132,Bangkok,Hat Yai,MJ Airways,Cancelled,130,832,3781,8627,23/01/2025 01:12:00,23/01/2025 01:49:00
TG0133,Nakhon Ratchasima,Phuket,PhraoAirAsia,Cancelled,198,982,4341,9707,26/01/2025 19:41:00,26/01/2025 20:27:00
TG0134,Udon Thani,Krabi,kaningpom jet,Cancelled,137,928,4679,8366,03/12/2024 22:14:00,03/12/2024 23:38:00
TG0135,Nakhon Ratchasima,Koh Samui,PhraoAirAsia,Delayed,179,1075,3307,8341,18/01/2025 21:54:00,18/01/2025 23:18:00
TG0136,Nakhon Ratchasima,Bangkok,Porsche Air,Delayed,105,974,3075,9077,04/12/2024 17:43:00,04/12/2024 19:09:00
TG0137,Chiang Mai,Chiang Rai,kaningpom jet,Delayed,147,1354,3614,6055,10/01/2025 15:15:00,10/01/2025 16:11:00
TG0138,Surat Thani,Krabi,PhraoAirAsia,On Time,168,1171,3622,11550,02/12/2024 01:16:00,02/12/2024 03:04:00
TG0139,Chiang Mai,Koh Samui,kaningpom jet,Delayed,139,984,3631,8086,13/01/2025 07:41:00,13/01/2025 08:56:00
TG0140,Krabi,Phuket,MJ Airways,Delayed,58,1244,4056,10657,20/01/2025 00:23:00,20/01/2025 01:10:00
TG0141,Udon Thani,Phuket,kaningpom jet,Cancelled,164,1288,4845,8312,23/12/2024 09:09:00,23/12/2024 10:30:00
TG0142,Nakhon Ratchasima,Bangkok,PhraoAirAsia,Delayed,132,1389,4716,7217,31/12/2024 13:44:00,31/12/2024 15:37:00
TG0143,Phuket,Hat Yai,Porsche Air,Cancelled,81,1086,4015,11442,03/12/2024 00:34:00,03/12/2024 01:08:00
TG0144,Nakhon Ratchasima,Chiang Mai,Porsche Air,Delayed,145,1080,3442,11182,15/12/2024 05:29:00,15/12/2024 06:56:00
TG0146,Hat Yai,Krabi,kaningpom jet,Delayed,91,1437,2186,8064,05/01/2025 11:10:00,05/01/2025 11:57:00
TG0147,Bangkok,Phuket,MJ Airways,On Time,123,1315,3919,11309,12/12/2024 18:53:00,12/12/2024 19:36:00
TG0148,Udon Thani,Surat Thani,Porsche Air,Cancelled,84,894,3500,10290,04/01/2025 05:00:00,04/01/2025 05:36:00
TG0149,Koh Samui,Hat Yai,Thai Meow Air,Delayed,195,1026,4159,9466,22/12/2024 03:37:00,22/12/2024 04:49:00
TG0150,Phuket,Krabi,Porsche Air,Delayed,59,1069,3595,10116,12/12/2024 16:53:00,12/12/2024 17:38:00
TG0151,Udon Thani,Chiang Mai,kaningpom jet,On Time,187,1096,2247,7124,08/12/2024 11:12:00,08/12/2024 12:32:00
TG0152,Chiang Mai,Bangkok,Thai Meow Air,Delayed,104,1128,3004,11902,31/01/2025 10:05:00,31/01/2025 11:18:00
TG0153,Chiang Rai,Koh Samui,PhraoAirAsia,On Time,107,819,3031,9704,18/01/2025 02:27:00,18/01/2025 03:49:00
TG0154,Chiang Mai,Bangkok,MJ Airways,Delayed,74,1407,4956,6052,09/12/2024 12:17:00,09/12/2024 13:27:00
TG0155,Phuket,Surat Thani,Thai Meow Air,Delayed,133,1210,3312,6455,17/12/2024 12:15:00,17/12/2024 13:51:00
TG0156,Phuket,Hat Yai,PhraoAirAsia,Delayed,104,1250,2747,7925,16/01/2025 15:18:00,16/01/2025 16:45:00
TG0157,Chiang Mai,Surat Thani,Thai Meow Air,Delayed,166,1048,2075,9342,24/12/2024 15:33:00,24/12/2024 16:11:00
TG0158,Nakhon Ratchasima,Surat Thani,PhraoAirAsia,Delayed,191,980,3064,7650,20/01/2025 12:28:00,20/01/2025 13:52:00
TG0159,Chiang Mai,Phuket,MJ Airways,Delayed,126,1123,3024,6750,03/12/2024 13:19:00,03/12/2024 15:09:00
TG0160,Chiang Mai,Bangkok,Thai Meow Air,Delayed,164,1060,2212,9023,18/12/2024 18:02:00,18/12/2024 19:44:00
TG0161,Chiang Mai,Bangkok,MJ Airways,Delayed,156,939,3133,6819,10/01/2025 11:20:00,10/01/2025 12:52:00
TG0162,Surat Thani,Bangkok,Porsche Air,Delayed,144,1398,4652,6407,02/12/2024 07:24:00,02/12/2024 07:55:00
TG0163,Chiang Rai,Chiang Mai,Porsche Air,Cancelled,185,1261,3189,11881,13/12/2024 16:22:00,13/12/2024 17:40:00
TG0164,Bangkok,Krabi,Porsche Air,Delayed,98,1421,4479,6859,18/01/2025 08:32:00,18/01/2025 10:00:00
TG0165,Udon Thani,Bangkok,Thai Meow Air,Delayed,55,1496,2573,10870,20/12/2024 12:05:00,20/12/2024 12:37:00
TG0167,Hat Yai,Bangkok,PhraoAirAsia,Delayed,146,1328,2103,11833,25/12/2024 04:11:00,25/12/2024 04:54:00
TG0168,Nakhon Ratchasima,Bangkok,MJ Airways,Cancelled,168,952,3970,8168,15/01/2025 02:24:00,15/01/2025 03:03:00
TG0169,Krabi,Koh Samui,Porsche Air,Delayed,81,949,2580,11185,14/12/2024 19:42:00,14/12/2024 20:54:00
TG0170,Chiang Mai,Hat Yai,Porsche Air,On Time,183,910,2494,7099,28/01/2025 03:32:00,28/01/2025 04:38:00
TG0171,Udon Thani,Hat Yai,kaningpom jet,On Time,99,825,2887,6855,30/12/2024 12:12:00,30/12/2024 14:05:00
TG0172,Udon Thani,Krabi,PhraoAirAsia,Delayed,196,1264,3156,8556,30/12/2024 07:07:00,30/12/2024 09:04:00
TG0173,Bangkok,Hat Yai,PhraoAirAsia,On Time,166,917,4665,11830,10/12/2024 23:21:00,11/12/2024 00:54:00
TG0174,Udon Thani,Bangkok,Porsche Air,Delayed,189,1245,4596,8856,28/01/2025 09:29:00,28/01/2025 11:28:00
TG0175,Phuket,Koh Samui,kaningpom jet,On Time,68,1395,2336,9772,29/01/2025 14:01:00,29/01/2025 15:37:00
TG0176,Udon Thani,Phuket,PhraoAirAsia,Delayed,84,1473,4514,11156,16/01/2025 11:23:00,16/01/2025 12:15:00
TG0177,Surat Thani,Hat Yai,Thai Meow Air,Cancelled,168,1028,2165,11004,09/01/2025 01:56:00,09/01/2025 02:37:00
TG0178,Koh Samui,Chiang Mai,Porsche Air,On Time,199,1307,2734,11027,15/01/2025 18:20:00,15/01/2025 19:07:00
TG0179,Surat Thani,Bangkok,Thai Meow Air,Delayed,176,921,2373,6062,04/01/2025 07:02:00,04/01/2025 08:17:00
TG0180,Hat Yai,Bangkok,PhraoAirAsia,Cancelled,52,1126,3518,7477,22/01/2025 14:46:00,22/01/2025 16:21:00
TG0181,Chiang Rai,Bangkok,PhraoAirAsia,Delayed,155,1269,3968,11950,17/01/2025 11:43:00,17/01/2025 12:57:00
TG0182,Koh Samui,Chiang Rai,kaningpom jet,Cancelled,173,1087,3664,6442,08/01/2025 10:06:00,08/01/2025 10:42:00
TG0183,Koh Samui,Bangkok,PhraoAirAsia,Delayed,51,1325,3585,10684,31/12/2024 03:06:00,31/12/2024 03:54:00
TG0184,Krabi,Chiang Mai,Thai Meow Air,Cancelled,180,1496,2265,9602,26/01/2025 03:01:00,26/01/2025 03:32:00
TG0185,Nakhon Ratchasima,Chiang Mai,MJ Airways,Cancelled,60,952,4098,8432,03/12/2024 13:28:00,03/12/2024 14:05:00
TG0187,Krabi,Phuket,Porsche Air,Cancelled,178,1391,4785,7025,18/12/2024 04:02:00,18/12/2024 04:35:00
TG0190,Udon Thani,Chiang Rai,MJ Airways,Cancelled,102,841,3200,11844,13/12/2024 18:43:00,13/12/2024 19:58:00
TG0191,Nakhon Ratchasima,Phuket,MJ Airways,On Time,85,1074,2524,6717,24/12/2024 22:13:00,24/12/2024 23:10:00
TG0192,Chiang Rai,Bangkok,Thai Meow Air,Delayed,59,1352,4547,7626,15/12/2024 17:26:00,15/12/2024 18:03:00
TG0193,Koh Samui,Hat Yai,Thai Meow Air,Delayed,101,1238,3956,11232,23/12/2024 16:19:00,23/12/2024 17:59:00
TG0194,Chiang Rai,Hat Yai,kaningpom jet,Cancelled,169,1007,3123,11269,04/12/2024 20:59:00,04/12/2024 21:48:00
TG0195,Nakhon Ratchasima,Bangkok,PhraoAirAsia,Delayed,180,966,2358,11710,24/01/2025 11:22:00,24/01/2025 11:58:00
TG0196,Chiang Rai,Bangkok,Thai Meow Air,On Time,150,911,3060,11389,26/12/2024 05:26:00,26/12/2024 07:17:00
TG0197,Surat Thani,Chiang Mai,MJ Airways,On Time,125,1149,3650,11096,25/12/2024 16:20:00,25/12/2024 17:43:00
TG0198,Nakhon Ratchasima,Bangkok,PhraoAirAsia,Cancelled,167,929,2428,9139,18/12/2024 02:32:00,18/12/2024 03:12:00
TG0199,Hat Yai,Chiang Rai,kaningpom jet,Delayed,163,1016,2035,7897,02/01/2025 16:17:00,02/01/2025 16:53:00
TG0200,Koh Samui,Krabi,Porsche Air,On Time,67,1181,2782,6026,12/01/2025 05:53:00,12/01/2025 06:29:00
TG0201,Chiang Mai,Surat Thani,MJ Airways,Delayed,115,824,4077,11531,12/12/2024 17:01:00,12/12/2024 17:44:00
TG0203,Chiang Mai,Hat Yai,MJ Airways,Delayed,113,867,2060,7773,04/12/2024 19:05:00,04/12/2024 20:01:00
TG0204,Koh Samui,Bangkok,kaningpom jet,Cancelled,136,1034,3016,10621,11/12/2024 19:33:00,11/12/2024 20:04:00
TG0205,Phuket,Chiang Rai,Porsche Air,Cancelled,73,1091,4883,9504,03/01/2025 04:24:00,03/01/2025 05:51:00
TG0206,Chiang Rai,Surat Thani,PhraoAirAsia,Delayed,164,1355,3821,6568,09/12/2024 18:10:00,09/12/2024 18:45:00
TG0207,Nakhon Ratchasima,Bangkok,kaningpom jet,Delayed,168,832,2155,6058,21/01/2025 19:08:00,21/01/2025 21:03:00
TG0208,Krabi,Chiang Mai,MJ Airways,Delayed,175,811,3057,9089,30/01/2025 17:21:00,30/01/2025 18:55:00
TG0209,Surat Thani,Phuket,kaningpom jet,On Time,166,1416,2435,11334,02/12/2024 07:28:00,02/12/2024 08:00:00
TG0210,Bangkok,Krabi,MJ Airways,Cancelled,96,1012,3435,6391,03/01/2025 08:59:00,03/01/2025 10:06:00
TG0211,Surat Thani,Bangkok,kaningpom jet,Cancelled,116,938,2056,8330,14/01/2025 08:10:00,14/01/2025 08:45:00
TG0212,Phuket,Bangkok,PhraoAirAsia,Delayed,141,1494,4325,11675,25/01/2025 17:06:00,25/01/2025 19:04:00
TG0213,Bangkok,Hat Yai,Porsche Air,Delayed,184,1221,2679,8479,09/01/2025 14:32:00,09/01/2025 15:41:00
TG0214,Hat Yai,Krabi,Thai Meow Air,Cancelled,67,1437,4589,9806,09/01/2025 08:23:00,09/01/2025 09:38:00
TG0215,Koh Samui,Bangkok,Thai Meow Air,Delayed,64,1468,4289,7372,17/01/2025 13:55:00,17/01/2025 15:44:00
TG0216,Surat Thani,Phuket,Porsche Air,Cancelled,188,1423,4973,9577,16/01/2025 21:53:00,16/01/2025 23:33:00
TG0217,Krabi,Surat Thani,MJ Airways,Delayed,159,1288,2957,9770,26/01/2025 01:55:00,26/01/2025 02:45:00
TG0218,Phuket,Bangkok,Porsche Air,Cancelled,141,1339,3594,8054,13/12/2024 00:08:00,13/12/2024 01:10:00
TG0220,Chiang Rai,Surat Thani,Thai Meow Air,Cancelled,194,1017,3816,6903,09/01/2025 09:57:00,09/01/2025 11:32:00
TG0221,Krabi,Bangkok,Porsche Air,Delayed,56,1463,2114,8741,29/12/2024 20:31:00,29/12/2024 21:19:00
